iter	Accuracy	Logloss
0	0.8327872012	0.6559493097
1	0.8365458751	0.6189527766
2	0.8398226677	0.590393768
3	0.8401117965	0.5627016312
4	0.8384734002	0.5430367144
5	0.8361603701	0.5251588651
6	0.8368350039	0.511138934
7	0.8374132614	0.4977162762
8	0.8378951426	0.4853519329
9	0.8382806476	0.4729482739
10	0.8393407864	0.4620804173
11	0.8396299152	0.453934032
12	0.8392444102	0.4464686917
13	0.840690054	0.4407379404
14	0.8404009252	0.4350064316
15	0.8407864302	0.4272634719
16	0.8411719352	0.4222326904
17	0.8421356978	0.4175403989
18	0.8429067078	0.4122695435
19	0.843003084	0.4080868528
20	0.8421356978	0.4045275834
21	0.8423284503	0.4013171381
22	0.8429067078	0.3980198395
23	0.8424248265	0.3952225526
24	0.8423284503	0.3914365608
25	0.842232074	0.3885646398
26	0.8425212028	0.3861409927
27	0.843003084	0.3840068876
28	0.8432922128	0.3818273265
29	0.8439668466	0.3796185049
30	0.8443523516	0.3773694994
31	0.8447378566	0.375270057
32	0.8454124904	0.3731225849
33	0.8457979954	0.3712270327
34	0.8458943716	0.3695431024
35	0.8454124904	0.367997638
36	0.8456052429	0.3670318203
37	0.8460871241	0.3659002335
38	0.8462798766	0.3645555513
39	0.8465690054	0.3634266007
40	0.8471472629	0.3624924184
41	0.8479182729	0.3615606456
42	0.8484001542	0.360061934
43	0.8482074017	0.3586149265
44	0.8483037779	0.3575545958
45	0.8485929067	0.3564910152
46	0.8487856592	0.3554856467
47	0.8487856592	0.3547607037
48	0.8492675405	0.3540878506
49	0.8501349268	0.3529163597
50	0.850616808	0.3522788152
51	0.8509059368	0.3518138096
52	0.8514841943	0.3510384471
53	0.8510986893	0.3497702504
54	0.8514841943	0.34873614
55	0.8523515806	0.3482645657
56	0.8522552043	0.3476647395
57	0.8528334618	0.3469109673
58	0.8531225906	0.3460970679
59	0.8533153431	0.3457831151
60	0.8537008481	0.3449924928
61	0.8538936006	0.3445384333
62	0.8541827294	0.3443446783
63	0.8547609869	0.3438076317
64	0.8550501157	0.3429729374
65	0.8552428682	0.3423842103
66	0.8556283732	0.3415513132
67	0.8560138782	0.3409454305
68	0.8564957594	0.3404804827
69	0.8562066307	0.3398165863
70	0.8564957594	0.3394773889
71	0.8576522745	0.3391341181
72	0.858230532	0.3386424814
73	0.858616037	0.3379893983
74	0.8584232845	0.3376989559
75	0.8585196608	0.3371563457
76	0.8591942945	0.3367948402
77	0.8594834233	0.336168859
78	0.8595797995	0.3358282274
79	0.8602544333	0.3355872485
80	0.8603508096	0.3349714271
81	0.8605435621	0.3344816736
82	0.8603508096	0.3342824964
83	0.8602544333	0.3340545067
84	0.8600616808	0.3338716593
85	0.8604471858	0.3334261197
86	0.8605435621	0.3327448186
87	0.8611218196	0.3322294623
88	0.8614109483	0.331937917
89	0.8614109483	0.331041605
90	0.8616037008	0.3307467778
91	0.8617000771	0.3304700901
92	0.8618928296	0.3298646017
93	0.8620855821	0.3292062389
94	0.8622783346	0.329171258
95	0.8623747109	0.3290237052
96	0.8625674634	0.3286812246
97	0.8625674634	0.3283233881
98	0.8627602159	0.3279209699
99	0.8625674634	0.3276384131
100	0.8624710871	0.327202954
101	0.8624710871	0.326835879
102	0.8625674634	0.3264801437
103	0.8627602159	0.3262562516
104	0.8629529684	0.3260230228
105	0.8628565921	0.3257961685
106	0.8632420971	0.3255016559
107	0.8635312259	0.3251831839
108	0.8634348497	0.3251153892
109	0.8635312259	0.3246834939
