iter	Passed	Remaining
0	143	171779
1	273	163846
2	388	155119
3	526	157294
4	658	157378
5	785	156343
6	953	162572
7	1111	165642
8	1239	164034
9	1337	159128
10	1426	154147
11	1562	154669
12	1698	155106
13	1856	157242
14	2007	158553
15	2138	158260
16	2264	157587
17	2398	157477
18	2529	157227
19	2659	156884
20	2802	157366
21	2952	158103
22	3068	157014
23	3196	156633
24	3330	156540
25	3504	158241
26	3653	158724
27	3784	158418
28	3922	158398
29	4113	160431
30	4292	161862
31	4437	161970
32	4552	161006
33	4655	159670
34	4827	160676
35	4972	160787
36	5071	159394
37	5196	158908
38	5347	159194
39	5485	159092
40	5619	158843
41	5737	158192
42	5891	158513
43	6034	158540
44	6180	158623
45	6318	158502
46	6424	157601
47	6565	157569
48	6715	157740
49	6870	158020
50	7004	157802
51	7130	157421
52	7277	157493
53	7371	156438
54	7488	155900
55	7588	155026
56	7731	155030
57	7874	155037
58	7989	154503
59	8127	154424
60	8258	154208
61	8376	153741
62	8484	153123
63	8576	152239
64	8703	151968
65	8848	152026
66	8981	151877
67	9129	151979
68	9278	152092
69	9428	152199
70	9565	152108
71	9702	152003
72	9820	151613
73	9920	150950
74	10076	151150
75	10196	150803
76	10317	150479
77	10429	150024
78	10546	149651
79	10669	149368
80	10819	149468
81	10984	149763
82	11110	149522
83	11205	148873
84	11300	148236
85	11443	148230
86	11562	147923
87	11683	147637
88	11803	147346
89	11921	147036
90	12058	146960
91	12197	146901
92	12323	146693
93	12450	146495
94	12491	145294
95	12620	145135
96	12751	145002
97	12837	144357
98	12899	143463
99	12995	142950
100	13124	142811
101	13269	142838
102	13402	142744
103	13534	142631
104	13628	142124
105	13788	142308
106	13954	142548
107	14073	142300
108	14187	142006
109	14269	141392
110	14354	140827
111	14442	140298
112	14512	139599
113	14605	139139
114	14701	138702
115	14796	138268
116	14891	137845
117	15012	137660
118	15169	137799
119	15472	139249
120	15632	139400
121	15771	139353
122	15897	139196
123	16048	139263
124	16192	139251
125	16333	139225
126	16487	139295
127	16650	139445
128	16775	139272
129	16823	138468
130	16933	138186
131	17057	138013
132	17170	137749
133	17321	137793
134	17454	137692
135	17578	137526
136	17695	137302
137	17815	137104
138	17963	137119
139	18072	136831
140	18173	136495
141	18312	136442
142	18471	136532
143	18629	136619
144	18762	136512
145	18931	136667
146	19155	137219
147	19305	137223
148	19463	137292
149	19592	137146
150	19784	137445
151	19978	137746
152	20046	137180
153	20184	137096
154	20329	137058
155	20463	136945
156	20597	136835
157	20732	136732
158	20903	136858
159	21045	136794
160	21213	136898
161	21385	137022
162	21536	137017
163	21656	136806
164	21794	136708
165	21913	136498
166	22103	136726
167	22220	136497
168	22315	136137
169	22443	135979
170	22604	136023
171	22783	136169
172	22925	136097
173	23004	135648
174	23165	135684
175	23360	135915
176	23545	136083
177	23694	136043
178	23870	136153
179	24034	136197
180	24205	136272
181	24376	136347
182	24553	136454
183	24746	136646
184	24907	136653
185	25152	137122
186	25271	136896
187	25472	137118
188	25556	136707
189	25743	136847
190	25932	136993
191	26091	136979
192	26227	136842
193	26380	136795
194	26540	136785
195	26705	136796
196	26879	136855
197	27058	136932
198	27214	136894
199	27393	136967
200	27579	137074
201	27769	137198
202	27904	137046
203	28102	137208
204	28293	137326
205	28421	137141
206	28567	137040
207	28697	136864
208	28829	136699
209	28970	136574
210	29081	136310
211	29181	135996
212	29312	135827
213	29454	135712
214	29604	135629
215	29729	135432
216	29859	135264
217	30035	135298
218	30201	135284
219	30462	135695
220	30628	135680
221	30833	135834
222	31045	136015
223	31234	136092
224	31418	136148
225	31576	136086
226	31716	135945
227	31952	136219
228	32125	136218
229	32226	135910
230	32350	135702
231	32539	135766
232	32747	135909
233	32930	135945
234	33144	136104
235	33303	136035
236	33454	135937
237	33624	135911
238	33766	135770
239	33890	135560
240	34150	135893
241	34330	135904
242	34456	135697
243	34594	135541
244	34832	135773
245	34982	135662
246	35131	135548
247	35272	135400
248	35428	135311
249	35576	135188
250	35718	135047
251	35899	135051
252	36085	135071
253	36261	135053
254	36443	135056
255	36586	134913
256	36765	134901
257	36948	134903
258	37063	134661
259	37226	134589
260	37386	134503
261	37529	134361
262	37713	134364
263	37906	134396
264	38077	134348
265	38244	134286
266	38413	134230
267	38599	134235
268	38792	134260
269	38989	134297
270	39136	134163
271	39285	134034
272	39472	134033
273	39636	133952
274	39822	133946
275	40016	133968
276	40215	134004
277	40363	133867
278	40497	133685
279	40634	133514
280	40796	133424
281	40906	133164
282	41003	132863
283	41140	132693
284	41302	132603
285	41497	132618
286	41684	132606
287	41850	132525
288	42049	132550
289	42239	132543
290	42422	132517
291	42610	132501
292	42765	132383
293	42933	132305
294	43134	132328
295	43317	132292
296	43482	132203
297	43606	131990
298	43824	132060
299	43987	131962
300	44135	131820
301	44234	131532
302	44396	131432
303	44551	131310
304	44717	131220
305	44862	131069
306	45047	131032
307	45194	130887
308	45372	130832
309	45544	130756
310	45666	130539
311	45815	130397
312	46010	130387
313	46226	130436
314	46407	130382
315	46517	130132
316	46660	129973
317	46861	129974
318	47038	129907
319	47172	129723
320	47333	129615
321	47492	129497
322	47668	129427
