k,fold,accuracy,precision,recall,f1,TP,TN,FP,FN
1,1,0.7351111111111112,0.501779359430605,0.47157190635451507,0.48620689655172417,141,686,140,158
1,2,0.7324444444444445,0.4970414201183432,0.5618729096989966,0.5274725274725275,168,656,170,131
1,3,0.7155555555555555,0.46808510638297873,0.5150501672240803,0.49044585987261147,154,651,175,145
1,4,0.6951111111111111,0.42948717948717946,0.44816053511705684,0.43862520458265136,134,648,178,165
1,5,0.7084444444444444,0.45307443365695793,0.4682274247491639,0.4605263157894737,140,657,169,159
3,1,0.7511111111111111,0.5369649805447471,0.46153846153846156,0.49640287769784175,138,707,119,161
3,2,0.7395555555555555,0.5098039215686274,0.5217391304347826,0.5157024793388428,156,676,150,143
3,3,0.7253333333333334,0.4840764331210191,0.5083612040133779,0.49592169657422513,152,664,162,147
3,4,0.736,0.5032894736842105,0.5117056856187291,0.5074626865671642,153,675,151,146
3,5,0.7484444444444445,0.5277777777777778,0.5083612040133779,0.5178875638841567,152,690,136,147
5,1,0.7822222222222223,0.6046511627906976,0.5217391304347826,0.5601436265709157,156,724,102,143
5,2,0.7697777777777778,0.5699300699300699,0.5451505016722408,0.5572649572649572,163,703,123,136
5,3,0.7368888888888889,0.5049833887043189,0.5083612040133779,0.5066666666666667,152,677,149,147
5,4,0.7537777777777778,0.5359477124183006,0.5484949832775919,0.5421487603305786,164,684,142,135
5,5,0.7546666666666667,0.5418181818181819,0.4983277591973244,0.5191637630662022,149,700,126,150
7,1,0.7866666666666666,0.6121673003802282,0.5384615384615384,0.5729537366548043,161,724,102,138
7,2,0.7813333333333333,0.5898305084745763,0.5819397993311036,0.5858585858585859,174,705,121,125
7,3,0.7546666666666667,0.5395189003436426,0.5250836120401338,0.5322033898305084,157,692,134,142
7,4,0.7555555555555555,0.5413793103448276,0.5250836120401338,0.5331069609507639,157,693,133,142
7,5,0.7777777777777778,0.5871886120996441,0.5518394648829431,0.5689655172413793,165,710,116,134
9,1,0.7884444444444444,0.6133828996282528,0.5518394648829431,0.5809859154929576,165,722,104,134
9,2,0.7831111111111111,0.5945017182130584,0.5785953177257525,0.5864406779661017,173,708,118,126
9,3,0.7493333333333333,0.5298245614035088,0.5050167224080268,0.517123287671233,151,692,134,148
9,4,0.76,0.5498281786941581,0.5351170568561873,0.5423728813559323,160,695,131,139
9,5,0.7733333333333333,0.5802919708029197,0.5317725752508361,0.5549738219895288,159,711,115,140
11,1,0.7964444444444444,0.6325757575757576,0.5585284280936454,0.5932504440497335,167,729,97,132
11,2,0.792,0.6148409893992933,0.5819397993311036,0.5979381443298969,174,717,109,125
11,3,0.7537777777777778,0.539568345323741,0.5016722408026756,0.5199306759098787,150,698,128,149
11,4,0.7653333333333333,0.5636363636363636,0.5183946488294314,0.5400696864111498,155,706,120,144
11,5,0.7777777777777778,0.5904059040590406,0.5351170568561873,0.5614035087719297,160,715,111,139
