feature,information_gain
Contract,0.14164697191442988
tenure,0.094667090756825
OnlineSecurity,0.09309457404253485
TechSupport,0.09070627318832458
InternetService,0.07991620703249047
OnlineBackup,0.06731469992811256
PaymentMethod,0.06408873356857725
DeviceProtection,0.06316737267071704
StreamingMovies,0.04604847552952951
StreamingTV,0.04588136206030702
TotalCharges,0.04040161943346454
MonthlyCharges,0.039752714733069294
PaperlessBilling,0.02758326913921716
Dependents,0.02058772856974811
Partner,0.016422410868688675
SeniorCitizen,0.015195365435384356
MultipleLines,0.0011517851035277582
PhoneService,9.975388225258452e-05
gender,5.2664627444909407e-05
